상권_코드,상권_코드_명,상권_구분_코드_명,상권_유형_더미,자치구_코드,자치구_코드_명,면적_km2,log_sales,log_sales_total,유동인구,직장인구,점포_수,개업률,폐업률,경쟁_집중도,식음료_비율
3110264,면목역 2번,골목상권,0,11260,중랑구,0.216948,16.72555645537146,22.49463058739571,2994001.5,337.0,320.25,3.754125,2.261825,1.0741029641185647,0.2620904836193448
3110265,망우역 1번,골목상권,0,11260,중랑구,0.164846,16.76966452670954,21.583791562946217,448079.25,535.0,123.25,4.6397,2.821475,1.0526315789473684,0.242914979757085
3110266,면목동우체국,골목상권,0,11260,중랑구,0.114047,14.989316824895573,20.099245775062137,1741758.0,353.0,165.75,4.680899999999999,2.6125,1.0873493975903614,0.24246987951807228
3110267,망우역 2번,골목상권,0,11260,중랑구,0.125682,16.11153107651132,21.436819393721727,1912652.25,456.0,205.5,4.369975,2.695925,1.117861482381531,0.19441069258809235
3110268,망우3동주민센터,골목상권,0,11260,중랑구,0.071237,15.651397664932544,20.045770447700978,690495.5,146.0,81.0,3.353675,3.384125,1.0707692307692307,0.15076923076923077
3110269,용마문화복지센터,골목상권,0,11260,중랑구,0.050066,16.355005888842378,20.60324586204777,549253.25,182.0,70.0,4.30835,5.389975,1.0604982206405693,0.3594306049822064
3110271,신내역 1번,골목상권,0,11260,중랑구,0.112596,15.58735869911845,19.218104441151038,45882.25,124.0,37.75,1.9746000000000001,1.3167,1.0394736842105263,0.28289473684210525
3110272,신내1동주민센터,골목상권,0,11260,중랑구,0.146352,17.8668033853388,23.726841639800647,1285553.25,1031.0,350.75,4.6259,4.424625,1.1517094017094016,0.31837606837606836
3110278,망우본동주민센터,골목상권,0,11260,중랑구,0.137523,16.68386694247779,22.28865686535064,1375531.75,384.0,271.75,3.6756499999999996,2.948375,1.0919117647058822,0.25643382352941174
3110281,길상사,골목상권,0,11290,성북구,0.244583,16.30260758742131,19.799115068256512,74632.0,1113.0,33.0,6.0606,0.0,1.0241935483870968,0.22580645161290322
3110282,국민대학교앞,골목상권,0,11290,성북구,0.069438,15.667814122700275,19.559217425122952,97686.5,99.0,49.0,2.961175,3.574825,1.2030456852791878,0.5532994923857868
3110284,정릉북한산국립공원입구,골목상권,0,11290,성북구,0.057402,14.592410696399455,18.229996408397298,77939.0,353.0,38.0,2.6316,7.8947,1.0774193548387097,0.25806451612903225
3110285,홍대부중,골목상권,0,11290,성북구,0.090071,15.02972216016624,19.556182581469436,190705.75,1534.0,92.5,4.0467,1.360475,1.105121293800539,0.3045822102425876
3110286,한성대입구역 5번,골목상권,0,11290,성북구,0.112177,15.792962626050702,20.612998760854627,701040.0,3033.0,124.0,4.6640749999999995,3.048825,1.0482897384305836,0.34808853118712274
3110287,정릉3동주민센터,골목상권,0,11290,성북구,0.060168,16.890093555578904,20.603516811233945,213409.75,129.0,41.0,5.5038,4.329275,1.1636363636363636,0.26666666666666666
3110288,동구여중,골목상권,0,11290,성북구,0.08276,16.565026307767695,21.173767848276015,269335.5,1430.0,100.5,4.165725,1.510325,1.0471464019851116,0.2704714640198511
3110289,북한산보국문역 2번,골목상권,0,11290,성북구,0.16227,15.896491065938346,20.442095079656244,1133862.5,124.0,94.25,3.1656,1.338575,1.0740740740740742,0.18518518518518517
3110291,한성대입구역 3번,골목상권,0,11290,성북구,0.175682,16.442144016780436,21.853598985050873,2828348.75,539.0,224.0,3.461675,3.831675,1.0613154960981048,0.2630992196209587
3110293,삼선중학교,골목상권,0,11290,성북구,0.07983,16.813667507955586,21.959687204607473,1653925.25,4030.0,171.75,3.343975,3.20545,1.129360465116279,0.20930232558139536
3110295,정릉우체국,골목상권,0,11290,성북구,0.153101,17.02322405490244,21.937710410324947,1040992.25,389.0,136.25,4.5862,3.4873,1.1721611721611722,0.19597069597069597
3110296,성신여대입구역 4번,골목상권,0,11290,성북구,0.05946,16.221712134591243,20.96123134845731,699899.25,525.0,114.5,4.9376750000000005,2.2247,1.1111111111111112,0.20697167755991286
3110297,경동고등학교,골목상권,0,11290,성북구,0.167263,15.872094381981611,21.17405325023433,2025813.0,717.0,200.75,3.620575,2.1277,1.0771144278606966,0.19900497512437812
3110299,정릉역 1번,골목상권,0,11290,성북구,0.14091,16.838364344996737,22.371663662331883,2342792.5,720.0,253.0,3.35485,2.18135,1.0661401776900297,0.25172754195459035
3110300,삼선동주민센터,골목상권,0,11290,성북구,0.155662,15.744004293965569,21.122408098391872,3846536.5,993.0,216.75,5.194775,3.24415,1.0702764976958525,0.3456221198156682
3110301,성신여대입구역 7번,골목상권,0,11290,성북구,0.107374,15.135632673692886,19.89778807998904,1128121.25,226.0,117.0,3.8573000000000004,2.7852,1.0767590618336886,0.24946695095948826
3110302,보문역 8번,골목상권,0,11290,성북구,0.067532,16.17213599782943,21.09020519722766,600904.0,1045.0,136.75,3.454325,3.1160750000000004,1.1113138686131387,0.19708029197080293
3110303,성신여대입구역 1번,골목상권,0,11290,성북구,0.109299,16.462438611355854,21.46415954334635,1701249.5,182.0,148.75,6.2239,3.0233,1.070469798657718,0.25838926174496646
3110304,보문역 4번,골목상권,0,11290,성북구,0.093288,16.710475007058697,21.42422888008873,860498.5,559.0,111.5,5.158575,3.14265,1.0894854586129754,0.23042505592841164
3110305,보문역 5번,골목상권,0,11290,성북구,0.147424,17.146301567496476,22.197311751241642,1962098.0,1103.0,156.25,4.606,2.746525,1.0431309904153354,0.2220447284345048
3110307,길음역 7번,골목상권,0,11290,성북구,0.055213,15.387830721295005,20.43233397643768,873301.75,1889.0,156.5,3.342525,12.510275,1.0781499202551834,0.28548644338118023
3110308,길음역 8번,골목상권,0,11290,성북구,0.084969,16.10634175530575,21.074290674814918,1145026.25,74.0,143.75,5.04205,3.633325,1.1319444444444444,0.1736111111111111
3110309,대광초등학교,골목상권,0,11290,성북구,0.072678,14.858713643919987,19.166134139091433,304713.0,189.0,74.25,3.02705,2.01805,1.063758389261745,0.07046979865771812
3110312,안암역 2번,골목상권,0,11290,성북구,0.085118,17.694697894354228,22.629171806839157,701374.25,596.0,139.0,5.7554,5.93525,1.2244165170556554,0.59245960502693
3110313,안암역 3번,골목상권,0,11290,성북구,0.082289,17.33536675154247,22.835410070068285,1481822.5,457.0,244.75,5.8252999999999995,5.315725,1.2755102040816326,0.5387755102040817
3110314,종암경찰서,골목상권,0,11290,성북구,0.084094,17.15984121071611,22.61072490354443,826975.0,4728.0,233.0,4.8104,2.68645,1.1436227224008575,0.2797427652733119
3110315,종암아이파크2차,골목상권,0,11290,성북구,0.092801,16.545407336815387,21.75212382947595,1387118.5,2791.0,182.5,3.41855,3.150525,1.119015047879617,0.20930232558139536
3110316,숭곡초등학교,골목상권,0,11290,성북구,0.180619,16.773313697434308,22.594752046963276,3338491.75,913.0,337.5,3.844825,2.8118,1.065877128053294,0.23464100666173204
3110317,종암중학교,골목상권,0,11290,성북구,0.091409,17.236130602515203,21.672794559682245,624146.5,1710.0,84.5,1.75455,2.062725,1.1386430678466077,0.3775811209439528
3110318,KT월곡지사,골목상권,0,11290,성북구,0.076869,15.553238539116826,19.80163155647041,589572.5,399.0,70.0,4.950025,3.914075,1.0427046263345197,0.3202846975088968
3110319,종암동주민센터,골목상권,0,11290,성북구,0.098376,16.65811800931485,22.091792278430148,1090455.25,3213.0,229.0,4.372075,3.28595,1.0676117775354417,0.25627044711014174
3110320,KB국민은행 종암동지점,골목상권,0,11290,성북구,0.052907,16.200802283091637,19.87623254065531,282137.25,3028.0,39.5,3.756275,1.9737000000000002,1.0943396226415094,0.3018867924528302
3110322,장위1동주민센터,골목상권,0,11290,성북구,0.084262,15.427863775599832,19.66906090732715,886428.25,232.0,69.5,2.86795,1.8117500000000002,1.0681003584229392,0.21863799283154123
3110323,상월곡역 1번,골목상권,0,11290,성북구,0.083644,15.96626150843528,20.988416413711505,1380277.25,688.0,151.75,2.953525,3.6297,1.105263157894737,0.3569078947368421
3110325,장곡초등학교,골목상권,0,11290,성북구,0.104685,16.019258585801364,20.948145364489164,1212574.75,158.0,138.25,3.59015,3.0825,1.0703971119133573,0.21299638989169675
3110327,상월곡역 2번,골목상권,0,11290,성북구,0.11735,16.69952005662652,21.644670853173974,1348380.5,324.0,140.5,4.09495,2.67495,1.0479573712255772,0.20959147424511546
3110328,상월곡역 3번,골목상권,0,11290,성북구,0.088297,16.030777348819836,20.20880562320682,720713.75,472.0,65.25,3.410675,1.906325,1.0801526717557253,0.1717557251908397
3110329,우리은행체육관,골목상권,0,11290,성북구,0.08861,14.033680816612907,18.601757094333927,423172.25,130.0,96.5,6.3593,2.0542,1.020671834625323,0.23772609819121446
3110330,돌곶이역 1번,골목상권,0,11290,성북구,0.072476,15.885110525394822,20.529203308059316,850547.0,276.0,104.0,4.798575,2.65415,1.0815347721822541,0.23741007194244604
